,low,medium,high
seasonal_naive,775.82,839.06,1405.62
ets,595.1323396071314,1100.9553528844717,2169.1658205518142
gradient_boosting,1081.4184219500914,464.00415847212304,1074.485143011576
chronos,486.821455078125,696.7107421875,1812.4434765625
